Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10.0,Romania,"Employed, full-time",90625.0
25-34 years old,In-person,Some college/university study without earning a degree,12.0,6.0,Netherlands,"Employed, full-time",53703.0
45-54 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37.0,26.0,Spain,"Employed, full-time",42962.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,10.0,Turkey,"Independent contractor, freelancer, or self-employed",100469.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,14.0,Germany,"Employed, full-time",53703.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,6.0,Denmark,"Employed, full-time",70849.0
35-44 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35.0,25.0,Sweden,"Independent contractor, freelancer, or self-employed",76307.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,10.0,France,"Employed, full-time",24703.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Netherlands,"Employed, full-time",67666.0
35-44 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",27.0,23.0,Austria,"Employed, full-time",90221.0
55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",39.0,31.0,Germany,"Employed, full-time",96666.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,7.0,Malta,"Employed, full-time;Independent contractor, freelancer, or self-employed",60577.0
25-34 years old,Remote,Some college/university study without earning a degree,10.0,7.0,Hungary,"Independent contractor, freelancer, or self-employed",47259.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,8.0,5.0,Poland,"Employed, full-time;Student, part-time",44544.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18.0,12.0,France,"Employed, full-time",38111.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,2.0,Ukraine,"Employed, full-time",17279.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,6.0,Ukraine,"Employed, full-time",987.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,16.0,Germany,"Independent contractor, freelancer, or self-employed",139628.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,4.0,Norway,"Employed, full-time",77681.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,6.0,Czech Republic,"Independent contractor, freelancer, or self-employed",71407.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,12.0,12.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",59872.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,3.0,Ukraine,"Employed, full-time",47000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",79617.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,7.0,Indonesia,"Independent contractor, freelancer, or self-employed;Employed, part-time",18399.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,20.0,Netherlands,"Independent contractor, freelancer, or self-employed",107406.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,15.0,India,"Employed, full-time",35890.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,21.0,Finland,"Employed, full-time;Independent contractor, freelancer, or self-employed",67666.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,15.0,Romania,"Employed, full-time",107887.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,13.0,Malta,"Employed, full-time",59073.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,5.0,Italy,"Independent contractor, freelancer, or self-employed",26637.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,8.0,Germany,"Employed, full-time",75184.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,3.0,Poland,"Employed, full-time",49493.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,3.0,Germany,"Employed, full-time",75184.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,16.0,Sweden,"Employed, full-time",75353.0
25-34 years old,"Hybrid (some remote, some in-person)",Something else,10.0,6.0,France,"Employed, full-time",35444.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Ukraine,"Employed, full-time",37026.0
35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",25.0,20.0,Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed",40814.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,12.0,Ukraine,"Employed, full-time;Student, full-time",2098.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Germany,"Employed, full-time",59073.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,12.0,Poland,"Independent contractor, freelancer, or self-employed",54442.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,13.0,Chile,"Employed, full-time",97484.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,26.0,Switzerland,"Employed, full-time",178267.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,16.0,Netherlands,"Employed, part-time",69744.0
25-34 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16.0,16.0,Netherlands,"Independent contractor, freelancer, or self-employed",161109.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0.0,Ireland,"Employed, full-time",38666.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,4.0,Hungary,"Employed, full-time",39133.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,3.0,Ukraine,"Employed, full-time",28880.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,4.0,India,"Employed, full-time",11963.0
18-24 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,2.0,United States of America,"Employed, part-time",8888.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,5.0,Ukraine,"Employed, full-time",1629.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,8.0,Sri Lanka,"Employed, full-time",41611.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10.0,Austria,"Employed, full-time;Independent contractor, freelancer, or self-employed",85925.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,9.0,Poland,"Employed, full-time",86613.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,4.0,Italy,"Employed, full-time",40814.0
35-44 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21.0,16.0,Austria,"Employed, full-time",70244.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,3.0,Slovenia,"Employed, full-time",51555.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,1.0,Sweden,"Employed, full-time",36654.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,16.0,Lebanon,"Employed, full-time",45000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,9.0,Ukraine,"Employed, full-time",32954.0
18-24 years old,In-person,Some college/university study without earning a degree,2.0,1.0,Ukraine,"Employed, full-time",500.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Netherlands,"Employed, full-time",48977.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10.0,Slovakia,"Employed, full-time",50588.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5.0,India,"Employed, full-time",6700.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,4.0,Switzerland,"Employed, full-time",100275.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23.0,23.0,Ukraine,"Employed, full-time",61710.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,28.0,United Kingdom of Great Britain and Northern Ireland,"Independent contractor, freelancer, or self-employed",101910.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,12.0,Poland,"Employed, full-time",49493.0
45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",42.0,12.0,Sweden,"Employed, full-time",103015.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5.0,Germany,"Employed, full-time",85925.0
25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,10.0,Spain,"Employed, full-time",71073.0
45-54 years old,Remote,Something else,27.0,24.0,Ireland,"Employed, full-time",71962.0
35-44 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22.0,19.0,Italy,"Employed, full-time;Independent contractor, freelancer, or self-employed",59073.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,13.0,8.0,Germany,"Employed, full-time",67666.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,30.0,26.0,Sweden,"Employed, full-time",8585.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,4.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",118471.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20.0,9.0,Italy,"Employed, full-time",42962.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,4.0,Ukraine,"Employed, full-time",29621.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,18.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",95541.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,0.0,Indonesia,"Employed, full-time;Student, full-time",2545.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34.0,24.0,Italy,"Employed, full-time",91295.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,14.0,Netherlands,"Employed, full-time",75184.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,Egypt,"Employed, full-time",21198.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,6.0,Germany,"Employed, full-time",73788.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,5.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,11.0,India,"Independent contractor, freelancer, or self-employed",53836.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,2.0,Australia,"Employed, part-time",56156.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,18.0,Finland,"Employed, full-time",69814.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,Ukraine,"Employed, full-time;Student, full-time",13033.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,15.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",101910.0
55-64 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,40.0,28.0,Estonia,"Employed, full-time",72231.0
35-44 years old,Remote,Some college/university study without earning a degree,13.0,12.0,Ukraine,"Employed, full-time",56000.0
55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,34.0,Czech Republic,"Employed, full-time",65152.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,Israel,"Employed, full-time",134921.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,4.0,South Africa,"Employed, full-time",20447.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",9.0,6.0,Switzerland,"Employed, full-time",105846.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26.0,14.0,Denmark,"Employed, full-time",138242.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,3.0,Ukraine,"Employed, full-time",770.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,1.0,Switzerland,"Employed, full-time",106960.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,Netherlands,"Employed, full-time",64444.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6.0,4.0,Spain,"Employed, full-time",52495.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,1.0,Spain,"Employed, full-time",29000.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,12.0,Germany,"Employed, full-time",85925.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Turkey,"Employed, full-time",37096.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,India,"Employed, full-time",25434.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",95541.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,7.0,Netherlands,"Employed, full-time",64444.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,4.0,Germany,"Employed, full-time",75184.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,7.0,Poland,"Employed, full-time",65331.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,8.0,Ukraine,"Employed, full-time",55000.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Pakistan,"Employed, full-time",18663.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,France,"Employed, full-time",112777.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10.0,France,"Employed, full-time",167125.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,6.0,Sweden,"Employed, full-time",50621.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,8.0,Germany,"Employed, full-time",64444.0
55-64 years old,In-person,Some college/university study without earning a degree,40.0,37.0,Croatia,"Employed, full-time",26852.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,India,"Employed, full-time",23927.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,26.0,Austria,"Employed, full-time",91295.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,9.0,Germany,"Employed, full-time",87536.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,2.0,Belgium,"Employed, full-time",48333.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10.0,Netherlands,"Independent contractor, freelancer, or self-employed",128887.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,3.0,Switzerland,"Employed, full-time",105846.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,9.0,France,"Independent contractor, freelancer, or self-employed",75184.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,12.0,Netherlands,"Employed, full-time",96666.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,18.0,Sweden,"Employed, full-time",62954.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5.0,Germany,"Employed, full-time",105258.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,8.0,Georgia,"Employed, full-time",17479.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,12.0,Netherlands,"Employed, full-time",96666.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,2.0,Hong Kong (S.A.R.),"Employed, full-time",191990.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,8.0,Ukraine,"Independent contractor, freelancer, or self-employed",55000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,2.0,Turkey,"Employed, full-time",34005.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,17.0,Poland,"Independent contractor, freelancer, or self-employed",164976.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,3.0,Netherlands,"Employed, full-time",45111.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,3.0,Norway,"Employed, full-time",60366.0
25-34 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",17.0,6.0,Germany,"Employed, full-time",75184.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,15.0,Ukraine,"Employed, full-time",90000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,14.0,Hungary,"Employed, full-time",32610.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,16.0,Malta,"Employed, full-time",104184.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0.0,Russian Federation,"Employed, full-time",34958.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,Germany,"Employed, full-time",80555.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,6.0,India,"Employed, full-time",5982.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,14.0,France,"Employed, full-time",67666.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Germany,"Employed, full-time",69814.0
18-24 years old,In-person,Some college/university study without earning a degree,10.0,4.0,Italy,"Employed, full-time",22555.0
45-54 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",8.0,6.0,Sweden,"Employed, full-time",57230.0
45-54 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",35.0,30.0,Ireland,"Employed, full-time",102036.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,14.0,Malaysia,"Employed, full-time;Independent contractor, freelancer, or self-employed",38140.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,9.0,Malaysia,"Employed, full-time",19070.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,17.0,Netherlands,"Employed, full-time",85925.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,5.0,Switzerland,"Employed, full-time",106960.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,2.0,France,"Employed, full-time",37055.0
45-54 years old,"Hybrid (some remote, some in-person)",Something else,10.0,7.0,Denmark,"Employed, full-time",90721.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Belgium,"Employed, full-time",48333.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,4.0,Ukraine,"Employed, full-time",48000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10.0,Ukraine,"Employed, full-time",64178.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,7.0,Slovakia,"Employed, full-time",37592.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,27.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",81528.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,2.0,France,"Employed, full-time",53703.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,13.0,Netherlands,"Employed, full-time",107406.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10.0,"Iran, Islamic Republic of...","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",24000.0
25-34 years old,In-person,"Associate degree (A.A., A.S., etc.)",8.0,4.0,"Iran, Islamic Republic of...","Employed, full-time",190080.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Independent contractor, freelancer, or self-employed",54777.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,21.0,6.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",47134.0
35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",23.0,17.0,Czech Republic,"Employed, full-time",86870.0
45-54 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",34.0,30.0,France,"Employed, full-time",49407.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,2.0,Benin,"Employed, full-time",2617.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,6.0,Germany,"Employed, full-time",75184.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,12.0,Netherlands,"Employed, full-time",85925.0
25-34 years old,In-person,Some college/university study without earning a degree,17.0,10.0,India,"Independent contractor, freelancer, or self-employed",5982.0
45-54 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36.0,26.0,Germany,"Employed, full-time",75184.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",24.0,20.0,Canada,"Employed, full-time;Student, full-time",72693.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,Sri Lanka,"Employed, full-time",16461.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,14.0,Sweden,"Employed, full-time",47072.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,5.0,Democratic Republic of the Congo,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",12000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",70063.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,9.0,3.0,Czech Republic,"Employed, full-time",30404.0
35-44 years old,In-person,"Associate degree (A.A., A.S., etc.)",15.0,10.0,Turkey,"Employed, full-time",17435.0
35-44 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",23.0,20.0,Germany,"Employed, full-time",55851.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,7.0,4.0,Italy,"Employed, full-time;Student, part-time",39740.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,15.0,Germany,"Employed, full-time",107406.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,18.0,Netherlands,"Employed, full-time",68740.0
25-34 years old,"Hybrid (some remote, some in-person)",Something else,13.0,6.0,Austria,"Employed, full-time",66162.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,3.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",44586.0
35-44 years old,In-person,Some college/university study without earning a degree,12.0,8.0,Czech Republic,"Employed, full-time",26061.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,20.0,Netherlands,"Employed, full-time",247034.0
